Setiment_Value,Sentiment,Time
0,0, Fri Mar 16 02:53:36 +0000 2018
-0.333333333,-1, Fri Mar 16 02:53:39 +0000 2018
-0.1,-1, Fri Mar 16 02:54:42 +0000 2018
0.136363636,1, Fri Mar 16 02:54:46 +0000 2018
0,0, Fri Mar 16 02:54:48 +0000 2018
-0.016666667,-1, Fri Mar 16 02:55:00 +0000 2018
0.75,1, Fri Mar 16 02:55:00 +0000 2018
0,0, Fri Mar 16 02:55:08 +0000 2018
0,0, Fri Mar 16 02:55:17 +0000 2018
0,0, Fri Mar 16 02:55:19 +0000 2018
0,0, Fri Mar 16 02:56:41 +0000 2018
0.75,1, Fri Mar 16 02:56:58 +0000 2018
-0.275,-1, Fri Mar 16 02:57:23 +0000 2018
-0.333333333,-1, Fri Mar 16 02:58:05 +0000 2018
0,0, Fri Mar 16 02:58:26 +0000 2018
-0.275,-1, Fri Mar 16 02:58:37 +0000 2018
0,0, Fri Mar 16 02:59:03 +0000 2018
0,0, Fri Mar 16 02:59:31 +0000 2018
0,0, Fri Mar 16 02:59:35 +0000 2018
0,0, Fri Mar 16 02:59:51 +0000 2018
0.178571429,1, Fri Mar 16 02:59:57 +0000 2018
0.75,1, Fri Mar 16 03:00:04 +0000 2018
0,0, Fri Mar 16 03:00:06 +0000 2018
0.3,1, Fri Mar 16 03:00:14 +0000 2018
0.75,1, Fri Mar 16 03:00:44 +0000 2018
-0.333333333,-1, Fri Mar 16 03:01:52 +0000 2018
0.75,1, Fri Mar 16 03:02:44 +0000 2018
0.75,1, Fri Mar 16 03:03:03 +0000 2018
0.75,1, Fri Mar 16 03:03:11 +0000 2018
0.5,1, Fri Mar 16 03:03:16 +0000 2018
0,0, Fri Mar 16 03:03:22 +0000 2018
0,0, Fri Mar 16 03:03:25 +0000 2018
-0.281818182,-1, Fri Mar 16 03:04:22 +0000 2018
-0.333333333,-1, Fri Mar 16 03:04:25 +0000 2018
-0.275,-1, Fri Mar 16 03:04:55 +0000 2018
-0.275,-1, Fri Mar 16 03:04:57 +0000 2018
0.2,1, Fri Mar 16 03:05:56 +0000 2018
0,0, Fri Mar 16 03:06:34 +0000 2018
0,0, Fri Mar 16 03:07:11 +0000 2018
0,0, Fri Mar 16 03:07:16 +0000 2018
0,0, Fri Mar 16 03:08:07 +0000 2018
0.75,1, Fri Mar 16 03:08:26 +0000 2018
0.75,1, Fri Mar 16 03:08:29 +0000 2018
0.285714286,1, Fri Mar 16 03:09:09 +0000 2018
0.75,1, Fri Mar 16 03:10:01 +0000 2018
-0.275,-1, Fri Mar 16 03:10:07 +0000 2018
0.136363636,1, Fri Mar 16 03:10:21 +0000 2018
0,0, Fri Mar 16 03:10:41 +0000 2018
-0.2,-1, Fri Mar 16 03:10:44 +0000 2018
-0.125,-1, Fri Mar 16 03:11:06 +0000 2018
0,0, Fri Mar 16 03:11:08 +0000 2018
-0.333333333,-1, Fri Mar 16 03:11:18 +0000 2018
0,0, Fri Mar 16 03:12:12 +0000 2018
0,0, Fri Mar 16 03:12:52 +0000 2018
