Setiment_Value,Sentiment,Time
-0.2,-1, Fri Mar 16 02:53:37 +0000 2018
-0.333333333,-1, Fri Mar 16 02:53:39 +0000 2018
0,0, Fri Mar 16 02:54:37 +0000 2018
0.16,1, Fri Mar 16 02:54:50 +0000 2018
0,0, Fri Mar 16 02:54:50 +0000 2018
-0.016666667,-1, Fri Mar 16 02:55:00 +0000 2018
0,0, Fri Mar 16 02:55:08 +0000 2018
0.285714286,1, Fri Mar 16 02:55:08 +0000 2018
0,0, Fri Mar 16 02:56:40 +0000 2018
0.1,1, Fri Mar 16 02:56:48 +0000 2018
-0.5,-1, Fri Mar 16 02:57:02 +0000 2018
0.03125,1, Fri Mar 16 02:57:22 +0000 2018
-0.00959596,-1, Fri Mar 16 02:57:35 +0000 2018
0.5,1, Fri Mar 16 02:57:57 +0000 2018
-0.333333333,-1, Fri Mar 16 02:58:05 +0000 2018
1,1, Fri Mar 16 02:58:07 +0000 2018
0.136363636,1, Fri Mar 16 02:58:09 +0000 2018
0,0, Fri Mar 16 02:58:17 +0000 2018
0.8,1, Fri Mar 16 02:58:19 +0000 2018
0.5,1, Fri Mar 16 02:58:41 +0000 2018
-0.1,-1, Fri Mar 16 02:59:02 +0000 2018
0.2,1, Fri Mar 16 02:59:27 +0000 2018
0.3,1, Fri Mar 16 02:59:52 +0000 2018
0.2,1, Fri Mar 16 03:00:03 +0000 2018
0.177777778,1, Fri Mar 16 03:00:20 +0000 2018
-0.871428571,-1, Fri Mar 16 03:00:23 +0000 2018
0.266666667,1, Fri Mar 16 03:00:28 +0000 2018
-0.333333333,-1, Fri Mar 16 03:01:52 +0000 2018
0.1,1, Fri Mar 16 03:01:58 +0000 2018
-0.65,-1, Fri Mar 16 03:02:29 +0000 2018
-0.166666667,-1, Fri Mar 16 03:02:32 +0000 2018
-0.133333333,-1, Fri Mar 16 03:02:32 +0000 2018
0,0, Fri Mar 16 03:03:01 +0000 2018
0,0, Fri Mar 16 03:03:10 +0000 2018
0,0, Fri Mar 16 03:03:34 +0000 2018
0.0625,1, Fri Mar 16 03:03:40 +0000 2018
0,0, Fri Mar 16 03:03:45 +0000 2018
0,0, Fri Mar 16 03:04:05 +0000 2018
-0.15,-1, Fri Mar 16 03:04:09 +0000 2018
-0.333333333,-1, Fri Mar 16 03:04:25 +0000 2018
0,0, Fri Mar 16 03:04:33 +0000 2018
0.318181818,1, Fri Mar 16 03:04:47 +0000 2018
0,0, Fri Mar 16 03:05:07 +0000 2018
0,0, Fri Mar 16 03:05:38 +0000 2018
0.035714286,1, Fri Mar 16 03:05:48 +0000 2018
0,0, Fri Mar 16 03:07:02 +0000 2018
0.2,1, Fri Mar 16 03:07:07 +0000 2018
0,0, Fri Mar 16 03:07:11 +0000 2018
0.03125,1, Fri Mar 16 03:07:42 +0000 2018
-0.085714286,-1, Fri Mar 16 03:07:58 +0000 2018
0,0, Fri Mar 16 03:08:19 +0000 2018
0,0, Fri Mar 16 03:08:39 +0000 2018
0,0, Fri Mar 16 03:09:06 +0000 2018
0.285714286,1, Fri Mar 16 03:09:09 +0000 2018
0,0, Fri Mar 16 03:09:22 +0000 2018
0.4,1, Fri Mar 16 03:09:29 +0000 2018
-0.4,-1, Fri Mar 16 03:09:35 +0000 2018
-0.171875,-1, Fri Mar 16 03:09:55 +0000 2018
0,0, Fri Mar 16 03:09:55 +0000 2018
0,0, Fri Mar 16 03:10:10 +0000 2018
0,0, Fri Mar 16 03:10:31 +0000 2018
0,0, Fri Mar 16 03:10:40 +0000 2018
-0.1,-1, Fri Mar 16 03:11:14 +0000 2018
-0.333333333,-1, Fri Mar 16 03:11:18 +0000 2018
0.1,1, Fri Mar 16 03:12:51 +0000 2018
0,0, Fri Mar 16 03:12:52 +0000 2018
0.2,1, Fri Mar 16 03:13:11 +0000 2018
0,0, Fri Mar 16 03:13:34 +0000 2018
