Setiment_Value,Sentiment,Time
0.55,1, Fri Mar 16 02:53:57 +0000 2018
0.329166667,1, Fri Mar 16 02:57:00 +0000 2018
0.4,1, Fri Mar 16 02:57:13 +0000 2018
0,0, Fri Mar 16 02:58:04 +0000 2018
0.1828125,1, Fri Mar 16 02:58:05 +0000 2018
-0.133333333,-1, Fri Mar 16 02:58:24 +0000 2018
0,0, Fri Mar 16 02:59:00 +0000 2018
0.6,1, Fri Mar 16 02:59:32 +0000 2018
0,0, Fri Mar 16 02:59:52 +0000 2018
0.6,1, Fri Mar 16 03:00:40 +0000 2018
0,0, Fri Mar 16 03:01:58 +0000 2018
0.8,1, Fri Mar 16 03:02:17 +0000 2018
0.326190476,1, Fri Mar 16 03:02:18 +0000 2018
0.466666667,1, Fri Mar 16 03:03:06 +0000 2018
0.2,1, Fri Mar 16 03:03:21 +0000 2018
0,0, Fri Mar 16 03:03:44 +0000 2018
0,0, Fri Mar 16 03:03:53 +0000 2018
0,0, Fri Mar 16 03:04:22 +0000 2018
0,0, Fri Mar 16 03:04:25 +0000 2018
0.5,1, Fri Mar 16 03:04:25 +0000 2018
0,0, Fri Mar 16 03:04:55 +0000 2018
0,0, Fri Mar 16 03:05:18 +0000 2018
0.125,1, Fri Mar 16 03:06:24 +0000 2018
0,0, Fri Mar 16 03:06:48 +0000 2018
0,0, Fri Mar 16 03:07:20 +0000 2018
0.65,1, Fri Mar 16 03:07:33 +0000 2018
0,0, Fri Mar 16 03:07:34 +0000 2018
0,0, Fri Mar 16 03:07:54 +0000 2018
0.5,1, Fri Mar 16 03:08:13 +0000 2018
0.433333333,1, Fri Mar 16 03:09:11 +0000 2018
0.25,1, Fri Mar 16 03:09:28 +0000 2018
0.5,1, Fri Mar 16 03:09:39 +0000 2018
0.1828125,1, Fri Mar 16 03:10:16 +0000 2018
0.5,1, Fri Mar 16 03:10:30 +0000 2018
0.5,1, Fri Mar 16 03:10:32 +0000 2018
0,0, Fri Mar 16 03:10:33 +0000 2018
0,0, Fri Mar 16 03:10:55 +0000 2018
0.85,1, Fri Mar 16 03:11:12 +0000 2018
0,0, Fri Mar 16 03:13:14 +0000 2018
0,0, Fri Mar 16 03:13:41 +0000 2018
0,0, Fri Mar 16 03:13:58 +0000 2018
0,0, Fri Mar 16 03:13:59 +0000 2018
-0.291666667,-1, Fri Mar 16 03:14:00 +0000 2018
