Setiment_Value,Sentiment,Time
-0.1,-1, Fri Mar 16 02:53:41 +0000 2018
0,0, Fri Mar 16 02:53:59 +0000 2018
-0.6,-1, Fri Mar 16 02:54:03 +0000 2018
-0.3,-1, Fri Mar 16 02:54:13 +0000 2018
0.2,1, Fri Mar 16 02:54:15 +0000 2018
0,0, Fri Mar 16 02:54:27 +0000 2018
0,0, Fri Mar 16 02:54:42 +0000 2018
0,0, Fri Mar 16 02:55:09 +0000 2018
0,0, Fri Mar 16 02:55:19 +0000 2018
0,0, Fri Mar 16 02:56:40 +0000 2018
0,0, Fri Mar 16 02:56:49 +0000 2018
0,0, Fri Mar 16 02:56:52 +0000 2018
0,0, Fri Mar 16 02:56:58 +0000 2018
0,0, Fri Mar 16 02:57:46 +0000 2018
0.8,1, Fri Mar 16 02:57:46 +0000 2018
-0.425,-1, Fri Mar 16 02:57:56 +0000 2018
0.3,1, Fri Mar 16 02:58:05 +0000 2018
-0.083333333,-1, Fri Mar 16 02:58:33 +0000 2018
0,0, Fri Mar 16 02:58:41 +0000 2018
0,0, Fri Mar 16 02:58:47 +0000 2018
0,0, Fri Mar 16 02:59:02 +0000 2018
0,0, Fri Mar 16 02:59:19 +0000 2018
0,0, Fri Mar 16 02:59:53 +0000 2018
-0.175,-1, Fri Mar 16 03:00:16 +0000 2018
-0.071428571,-1, Fri Mar 16 03:00:38 +0000 2018
0,0, Fri Mar 16 03:02:27 +0000 2018
0,0, Fri Mar 16 03:02:31 +0000 2018
-0.7,-1, Fri Mar 16 03:03:20 +0000 2018
0,0, Fri Mar 16 03:03:36 +0000 2018
0,0, Fri Mar 16 03:04:23 +0000 2018
-0.1,-1, Fri Mar 16 03:04:24 +0000 2018
0.3,1, Fri Mar 16 03:04:28 +0000 2018
0,0, Fri Mar 16 03:05:00 +0000 2018
0.25,1, Fri Mar 16 03:05:18 +0000 2018
0,0, Fri Mar 16 03:05:40 +0000 2018
0,0, Fri Mar 16 03:05:40 +0000 2018
0,0, Fri Mar 16 03:05:53 +0000 2018
0,0, Fri Mar 16 03:06:12 +0000 2018
0,0, Fri Mar 16 03:06:47 +0000 2018
0.136363636,1, Fri Mar 16 03:06:48 +0000 2018
0.1,1, Fri Mar 16 03:07:00 +0000 2018
-0.083333333,-1, Fri Mar 16 03:07:08 +0000 2018
-0.25,-1, Fri Mar 16 03:07:20 +0000 2018
0.75,1, Fri Mar 16 03:07:55 +0000 2018
0,0, Fri Mar 16 03:08:57 +0000 2018
0,0, Fri Mar 16 03:08:58 +0000 2018
0,0, Fri Mar 16 03:09:32 +0000 2018
-0.377777778,-1, Fri Mar 16 03:09:43 +0000 2018
0,0, Fri Mar 16 03:10:40 +0000 2018
-0.083333333,-1, Fri Mar 16 03:10:52 +0000 2018
-0.5,-1, Fri Mar 16 03:10:52 +0000 2018
0,0, Fri Mar 16 03:11:06 +0000 2018
0,0, Fri Mar 16 03:11:07 +0000 2018
0,0, Fri Mar 16 03:11:15 +0000 2018
0,0, Fri Mar 16 03:11:17 +0000 2018
-0.8,-1, Fri Mar 16 03:12:45 +0000 2018
0.3,1, Fri Mar 16 03:12:51 +0000 2018
0,0, Fri Mar 16 03:12:57 +0000 2018
0,0, Fri Mar 16 03:13:29 +0000 2018
0,0, Fri Mar 16 03:14:00 +0000 2018
-0.1,-1, Fri Mar 16 03:14:07 +0000 2018
0.44375,1, Fri Mar 16 03:14:08 +0000 2018
0,0, Fri Mar 16 03:14:15 +0000 2018
0,0, Fri Mar 16 03:14:31 +0000 2018
0.1,1, Fri Mar 16 03:14:34 +0000 2018
0,0, Fri Mar 16 03:14:34 +0000 2018
0.333333333,1, Fri Mar 16 03:14:37 +0000 2018
