Setiment_Value,Sentiment,Time
0,0, 2018-03-16T08:22:35.2011911Z
0.172222222,1, 2018-03-16T07:15:05.1212165Z
-0.1,-1, 2018-03-16T07:02:18Z
0,0, 2018-03-16T06:26:04Z
-0.475,-1, 2018-03-16T06:21:08Z
0.5,1, 2018-03-16T05:52:35.3865863Z
0,0, 2018-03-16T05:25:23Z
0,0, 2018-03-16T05:09:40+00:00
0,0, 2018-03-16T05:06:43Z
0,0, 2018-03-16T04:40:03Z
0,0, 2018-03-16T04:23:38Z
0,0, 2018-03-16T03:40:22+00:00
0,0, 2018-03-16T03:37:45.1736425Z
0.2,1, 2018-03-16T03:27:00+00:00
0,0, 2018-03-16T03:16:22Z
0.1,1, 2018-03-16T03:07:42.1067406Z
-0.2,-1, 2018-03-16T03:00:09.4263261Z
0,0, 2018-03-16T02:59:30Z
0,0, 2018-03-16T02:59:12Z
0.104166667,1, 2018-03-16T02:44:21+00:00
