Setiment_Value,Sentiment,Time
0,0, 2018-03-16T07:25:16Z
-0.5,-1, 2018-03-16T05:35:23+00:00
-0.2,-1, 2018-03-16T02:16:46Z
-0.25,-1, 2018-03-16T02:04:11Z
0.136363636,1, 2018-03-16T01:18:33Z
0,0, 2018-03-16T00:51:19+00:00
0.109090909,1, 2018-03-16T00:47:48+00:00
-0.3,-1, 2018-03-16T00:39:01Z
-0.166666667,-1, 2018-03-16T00:28:00+00:00
-0.4,-1, 2018-03-15T22:29:40+00:00
0,0, 2018-03-15T22:01:48+00:00
0,0, 2018-03-15T21:41:02Z
-0.1,-1, 2018-03-15T21:28:08+00:00
-0.133333333,-1, 2018-03-15T18:58:27Z
0,0, 2018-03-15T18:48:22Z
0,0, 2018-03-15T18:36:50Z
0,0, 2018-03-15T18:34:08Z
0,0, 2018-03-15T18:34:00Z
0.033333333,1, 2018-03-15T18:32:37Z
